 time            time            v(gate_rc)      id             
 1.81513474e-11  1.81513474e-11  9.14912927e-01  8.58734548e-03 
 1.83066538e-11  1.83066538e-11  9.17881826e-01  8.63683733e-03 
 1.84620341e-11  1.84620341e-11  9.20820405e-01  8.68578071e-03 
 1.86180252e-11  1.86180252e-11  9.23738978e-01  8.73434833e-03 
 1.87741683e-11  1.87741683e-11  9.26629101e-01  8.78240052e-03 
 1.89308900e-11  1.89308900e-11  9.29498815e-01  8.83007186e-03 
 1.90878297e-11  1.90878297e-11  9.32341647e-01  8.87725565e-03 
 1.92453244e-11  1.92453244e-11  9.35163832e-01  8.92405624e-03 
 1.94030930e-11  1.94030930e-11  9.37960449e-01  8.97039283e-03 
 1.95614005e-11  1.95614005e-11  9.40736314e-01  9.01634603e-03 
 1.97200292e-11  1.97200292e-11  9.43487718e-01  9.06185523e-03 
 1.98791866e-11  1.98791866e-11  9.46218368e-01  9.10698254e-03 
 2.00387053e-11  2.00387053e-11  9.48925491e-01  9.15168293e-03 
 2.01987475e-11  2.01987475e-11  9.51611936e-01  9.19600418e-03 
 2.03591854e-11  2.03591854e-11  9.54275651e-01  9.23991321e-03 
 2.05201453e-11  2.05201453e-11  9.56918822e-01  9.28344678e-03 
 2.06815308e-11  2.06815308e-11  9.59539947e-01  9.32658091e-03 
 2.08434399e-11  2.08434399e-11  9.62140703e-01  9.36934391e-03 
 2.10058004e-11  2.10058004e-11  9.64720006e-01  9.41171867e-03 
 2.11686888e-11  2.11686888e-11  9.67279145e-01  9.45372710e-03 
 2.13320514e-11  2.13320514e-11  9.69817349e-01  9.49535722e-03 
 2.14959479e-11  2.14959479e-11  9.72335614e-01  9.53662606e-03 
 2.16603391e-11  2.16603391e-11  9.74833403e-01  9.57752550e-03 
 2.18252717e-11  2.18252717e-11  9.77311489e-01  9.61806888e-03 
 2.19907175e-11  2.19907175e-11  9.79769509e-01  9.65825093e-03 
 2.21567132e-11  2.21567132e-11  9.82208068e-01  9.69808220e-03 
 2.23232392e-11  2.23232392e-11  9.84626932e-01  9.73755952e-03 
 2.24903246e-11  2.24903246e-11  9.87026579e-01  9.77669133e-03 
 2.26579561e-11  2.26579561e-11  9.89406870e-01  9.81547600e-03 
 2.28261572e-11  2.28261572e-11  9.91768186e-01  9.85392040e-03 
 2.29949193e-11  2.29949193e-11  9.94110458e-01  9.89202399e-03 
 2.31642615e-11  2.31642615e-11  9.96433997e-01  9.92979246e-03 
 2.33341791e-11  2.33341791e-11  9.98738780e-01  9.96722607e-03 
 2.35046878e-11  2.35046878e-11  1.00102507e+00  1.00043296e-02 
 2.36757855e-11  2.36757855e-11  1.00329287e+00  1.00411039e-02 
 2.38474857e-11  2.38474857e-11  1.00554240e+00  1.00775530e-02 
