 v-sweep         v(drain_iv)     v(gate_iv)      id              is              ib              ig              kcl_error      
 7.00000000e-01  7.00000000e-01  8.00000000e-01 -7.45539917e-03  7.45540599e-03  5.67117225e-10 -7.38519746e-09  1.01091087e-18 
 8.00000000e-01  8.00000000e-01  8.00000000e-01 -7.75719679e-03  7.75720369e-03  6.76620010e-10 -7.57464317e-09  3.41977765e-19 
 9.00000000e-01  9.00000000e-01  8.00000000e-01 -8.05705657e-03  8.05706355e-03  8.05762386e-10 -7.78388929e-09  2.08931357e-18 
 1.00000000e+00  1.00000000e+00  8.00000000e-01 -8.35760112e-03  8.35760815e-03  9.58012316e-10 -7.99477045e-09  5.98152995e-18 
 1.10000000e+00  1.10000000e+00  8.00000000e-01 -8.66249495e-03  8.66250201e-03  1.13743624e-09 -8.19505670e-09  5.74655606e-19 
 1.20000000e+00  1.20000000e+00  8.00000000e-01 -8.97743791e-03  8.97744489e-03  1.38587432e-09 -8.36532694e-09  3.55411530e-18 
 0.00000000e+00  0.00000000e+00  9.00000000e-01  7.40190931e-09  7.40190931e-09  8.71680754e-10 -1.56754994e-08  3.39590367e-18 
 1.00000000e-01  1.00000000e-01  9.00000000e-01 -3.37696801e-03  3.37698132e-03  1.03796057e-09 -1.43455774e-08  2.43896272e-19 
 2.00000000e-01  2.00000000e-01  9.00000000e-01 -5.76037128e-03  5.76038355e-03  1.23561562e-09 -1.35130578e-08  2.77025972e-18 
 3.00000000e-01  3.00000000e-01  9.00000000e-01 -7.21318171e-03  7.21319334e-03  1.47105683e-09 -1.31051468e-08  2.74240379e-18 
 4.00000000e-01  4.00000000e-01  9.00000000e-01 -7.92757839e-03  7.92758971e-03  1.75178791e-09 -1.30746286e-08  2.65475863e-18 
 5.00000000e-01  5.00000000e-01  9.00000000e-01 -8.35906482e-03  8.35907604e-03  2.08460378e-09 -1.33017179e-08  2.71606822e-19 
 6.00000000e-01  6.00000000e-01  9.00000000e-01 -8.71400270e-03  8.71401393e-03  2.47763191e-09 -1.37029660e-08  2.98910028e-18 
 7.00000000e-01  7.00000000e-01  9.00000000e-01 -9.04297065e-03  9.04298196e-03  2.94091988e-09 -1.42431256e-08  5.96339319e-20 
 8.00000000e-01  8.00000000e-01  9.00000000e-01 -9.36096033e-03  9.36097175e-03  3.48625689e-09 -1.49076992e-08  2.19630101e-18 
 9.00000000e-01  9.00000000e-01  9.00000000e-01 -9.67384966e-03  9.67386123e-03  4.12727221e-09 -1.56937627e-08  1.18224375e-18 
 1.00000000e+00  1.00000000e+00  9.00000000e-01 -9.98507073e-03  9.98508245e-03  4.87962160e-09 -1.65929885e-08  1.18758321e-18 
 1.10000000e+00  1.10000000e+00  9.00000000e-01 -1.02983558e-02  1.02983677e-02  5.76119918e-09 -1.76015532e-08  2.58305013e-18 
 1.20000000e+00  1.20000000e+00  9.00000000e-01 -1.06193120e-02  1.06193240e-02  6.79235732e-09 -1.87234686e-08  3.25254531e-18 
 0.00000000e+00  0.00000000e+00  1.00000000e+00  1.17533044e-08  1.17533044e-08  4.47112024e-09 -2.79777290e-08  2.28639504e-18 
 1.00000000e-01  1.00000000e-01  1.00000000e+00 -3.60650727e-03  3.60652852e-03  5.29419098e-09 -2.65504566e-08  4.37293663e-18 
 2.00000000e-01  2.00000000e-01  1.00000000e+00 -6.32131686e-03  6.32133652e-03  6.26171204e-09 -2.59273500e-08  1.33596452e-18 
 3.00000000e-01  3.00000000e-01  1.00000000e+00 -8.19793858e-03  8.19795719e-03  7.39734387e-09 -2.60015385e-08  6.54308136e-19 
 4.00000000e-01  4.00000000e-01  1.00000000e+00 -9.25937304e-03  9.25939106e-03  8.72857439e-09 -2.67478937e-08  5.48737722e-18 
 5.00000000e-01  5.00000000e-01  1.00000000e+00 -9.82613400e-03  9.82615180e-03  1.02849958e-08 -2.80837762e-08  6.49932351e-19 
 6.00000000e-01  6.00000000e-01  1.00000000e+00 -1.02336277e-02  1.02336454e-02  1.20985793e-08 -2.98787996e-08  1.73516188e-18 
 7.00000000e-01  7.00000000e-01  1.00000000e+00 -1.05905330e-02  1.05905509e-02  1.42057025e-08 -3.20834721e-08  1.37318930e-18 
 8.00000000e-01  8.00000000e-01  1.00000000e+00 -1.09271976e-02  1.09272157e-02  1.66470029e-08 -3.46940496e-08  2.81636139e-18 
 9.00000000e-01  9.00000000e-01  1.00000000e+00 -1.12543167e-02  1.12543350e-02  1.94672403e-08 -3.77287501e-08  1.69171008e-18 
 1.00000000e+00  1.00000000e+00  1.00000000e+00 -1.15769274e-02  1.15769459e-02  2.27152770e-08 -4.12196283e-08  4.35929477e-18 
 1.10000000e+00  1.10000000e+00  1.00000000e+00 -1.18990465e-02  1.18990652e-02  2.64440381e-08 -4.51954648e-08  8.03741623e-19 
 1.20000000e+00  1.20000000e+00  1.00000000e+00 -1.22260551e-02  1.22260741e-02  3.07104141e-08 -4.96913418e-08  3.87468604e-18 
 0.00000000e+00  0.00000000e+00  1.10000000e+00  1.80838404e-08  1.80838404e-08  2.06491276e-08 -5.68168084e-08  1.64162926e-18 
 1.00000000e-01  1.00000000e-01  1.10000000e+00 -3.77983187e-03  3.77986471e-03  2.41365582e-08 -5.69786168e-08  1.14512899e-18 
 2.00000000e-01  2.00000000e-01  1.10000000e+00 -6.75299979e-03  6.75303024e-03  2.81494301e-08 -5.85955730e-08  1.44974983e-19 
 3.00000000e-01  3.00000000e-01  1.10000000e+00 -8.97248538e-03  8.97251417e-03  3.27516510e-08 -6.15321342e-08  6.52585946e-19 
 4.00000000e-01  4.00000000e-01  1.10000000e+00 -1.04215672e-02  1.04215949e-02  3.80122776e-08 -6.57600948e-08  3.39781973e-18 
 5.00000000e-01  5.00000000e-01  1.10000000e+00 -1.12095976e-02  1.12096249e-02  4.40045430e-08 -7.12966474e-08  3.22945208e-18 
 6.00000000e-01  6.00000000e-01  1.10000000e+00 -1.17003264e-02  1.17003536e-02  5.08035947e-08 -7.80051831e-08  1.24151869e-18 
 7.00000000e-01  7.00000000e-01  1.10000000e+00 -1.20954367e-02  1.20954640e-02  5.84882204e-08 -8.57989289e-08  5.00976313e-18 
 8.00000000e-01  8.00000000e-01  1.10000000e+00 -1.24548813e-02  1.24549089e-02  6.71411204e-08 -9.46805748e-08  2.23518760e-18 
 9.00000000e-01  9.00000000e-01  1.10000000e+00 -1.27981627e-02  1.27981905e-02  7.68482052e-08 -1.04692200e-07  1.32213902e-18 
 1.00000000e+00  1.00000000e+00  1.10000000e+00 -1.31332951e-02  1.31333233e-02  8.76981897e-08 -1.15895718e-07  3.88589599e-18 
 1.10000000e+00  1.10000000e+00  1.10000000e+00 -1.34650952e-02  1.34651238e-02  9.97823541e-08 -1.28365348e-07  1.33878851e-18 
 1.20000000e+00  1.20000000e+00  1.10000000e+00 -1.37987738e-02  1.37988028e-02  1.13194412e-07 -1.42170495e-07  4.22987078e-20 
 0.00000000e+00  0.00000000e+00  1.20000000e+00  2.71402094e-08  2.71402094e-08  8.00048482e-08 -1.34285267e-07  4.14893943e-18 
 1.00000000e-01  1.00000000e-01  1.20000000e+00 -3.91367864e-03  3.91372808e-03  9.14875999e-08 -1.40924451e-07  3.19519357e-18 
 2.00000000e-01  2.00000000e-01  1.20000000e+00 -7.09211602e-03  7.09216191e-03  1.04305285e-07 -1.50201956e-07  4.38810712e-18 
 3.00000000e-01  3.00000000e-01  1.20000000e+00 -9.58560605e-03  9.58564942e-03  1.18562572e-07 -1.61932995e-07  4.20089961e-18 
 4.00000000e-01  4.00000000e-01  1.20000000e+00 -1.13874356e-02  1.13874773e-02  1.34367463e-07 -1.76042308e-07  3.60121351e-18 
 5.00000000e-01  5.00000000e-01  1.20000000e+00 -1.24781416e-02  1.24781824e-02  1.51831534e-07 -1.92614560e-07  3.04217177e-18 
 6.00000000e-01  6.00000000e-01  1.20000000e+00 -1.31030916e-02  1.31031321e-02  1.71067922e-07 -2.11589651e-07  2.50949392e-18 
 7.00000000e-01  7.00000000e-01  1.20000000e+00 -1.35537793e-02  1.35538199e-02  1.92191805e-07 -2.32804985e-07  7.56003375e-19 
 8.00000000e-01  8.00000000e-01  1.20000000e+00 -1.39425695e-02  1.39426104e-02  2.15322672e-07 -2.56227789e-07  2.89499980e-19 
 9.00000000e-01  9.00000000e-01  1.20000000e+00 -1.43049424e-02  1.43049837e-02  2.40584517e-07 -2.81906286e-07  4.59017742e-18 
 1.00000000e+00  1.00000000e+00  1.20000000e+00 -1.46541855e-02  1.46542273e-02  2.68106044e-07 -3.09925642e-07  2.07459545e-18 
 1.10000000e+00  1.10000000e+00  1.20000000e+00 -1.49968156e-02  1.49968580e-02  2.98021118e-07 -3.40392647e-07  4.60584753e-18 
 1.20000000e+00  1.20000000e+00  1.20000000e+00 -1.53381693e-02  1.53382123e-02  3.30469300e-07 -3.73429552e-07  2.36046907e-18 
