 time            time            v(in_delay)     v(mid1_delay)   v(mid2_delay)   v(out_delay)   
 2.17553720e-11  2.17553720e-11  2.61064464e-01  1.19811426e+00 -1.19354333e-04  1.19997247e+00 
 2.19191609e-11  2.19191609e-11  2.63029931e-01  1.19792601e+00 -1.26545466e-04  1.19997224e+00 
 2.20913692e-11  2.20913692e-11  2.65096431e-01  1.19772227e+00 -1.34251913e-04  1.19997200e+00 
 2.22564286e-11  2.22564286e-11  2.67077143e-01  1.19752136e+00 -1.41767391e-04  1.19997177e+00 
 2.24281796e-11  2.24281796e-11  2.69138155e-01  1.19730640e+00 -1.49712867e-04  1.19997153e+00 
 2.25959192e-11  2.25959192e-11  2.71151031e-01  1.19709059e+00 -1.57590226e-04  1.19997130e+00 
 2.27690958e-11  2.27690958e-11  2.73229150e-01  1.19686163e+00 -1.65840188e-04  1.19997107e+00 
 2.29404061e-11  2.29404061e-11  2.75284873e-01  1.19662892e+00 -1.74115303e-04  1.19997084e+00 
 2.31165115e-11  2.31165115e-11  2.77398137e-01  1.19638319e+00 -1.82737864e-04  1.19997060e+00 
 2.32923149e-11  2.32923149e-11  2.79507778e-01  1.19613122e+00 -1.91460929e-04  1.19997037e+00 
 2.34723905e-11  2.34723905e-11  2.81668687e-01  1.19586616e+00 -2.00513889e-04  1.19997014e+00 
 2.36537844e-11  2.36537844e-11  2.83845413e-01  1.19559196e+00 -2.09752467e-04  1.19996991e+00 
 2.38400146e-11  2.38400146e-11  2.86080176e-01  1.19530284e+00 -2.19360732e-04  1.19996968e+00 
 2.40294988e-11  2.40294988e-11  2.88353986e-01  1.19500068e+00 -2.29263866e-04  1.19996944e+00 
 2.42252717e-11  2.42252717e-11  2.90703260e-01  1.19467993e+00 -2.39628744e-04  1.19996920e+00 
 2.44269002e-11  2.44269002e-11  2.93122803e-01  1.19434041e+00 -2.50443291e-04  1.19996896e+00 
 2.46375995e-11  2.46375995e-11  2.95651193e-01  1.19397555e+00 -2.61893639e-04  1.19996871e+00 
 2.48585789e-11  2.48585789e-11  2.98302947e-01  1.19358172e+00 -2.74063872e-04  1.19996845e+00 
