 time            time            v(in_inv)       v(out_inv)      i(Vdd_inv)     
 2.66425913e-11  2.66425913e-11  3.19711095e-01  1.18898557e+00 -4.45922908e-04 
 2.68509916e-11  2.68509916e-11  3.22211900e-01  1.18848200e+00 -4.71692357e-04 
 2.70484199e-11  2.70484199e-11  3.24581039e-01  1.18799426e+00 -4.96503016e-04 
 2.72439882e-11  2.72439882e-11  3.26927858e-01  1.18750080e+00 -5.21457334e-04 
 2.74574182e-11  2.74574182e-11  3.29489019e-01  1.18695050e+00 -5.49114173e-04 
 2.76537967e-11  2.76537967e-11  3.31845560e-01  1.18643325e+00 -5.74946622e-04 
 2.78601585e-11  2.78601585e-11  3.34321902e-01  1.18587836e+00 -6.02484551e-04 
 2.80533367e-11  2.80533367e-11  3.36640041e-01  1.18534835e+00 -6.28622120e-04 
 2.82530381e-11  2.82530381e-11  3.39036458e-01  1.18478965e+00 -6.56001535e-04 
 2.84446427e-11  2.84446427e-11  3.41335712e-01  1.18424323e+00 -6.82608625e-04 
 2.86412066e-11  2.86412066e-11  3.43694479e-01  1.18367207e+00 -7.10242355e-04 
 2.88330966e-11  2.88330966e-11  3.45997160e-01  1.18310409e+00 -7.37543359e-04 
 2.90289433e-11  2.90289433e-11  3.48347319e-01  1.18251378e+00 -7.65731636e-04 
 2.92223350e-11  2.92223350e-11  3.50668020e-01  1.18192029e+00 -7.93881909e-04 
 2.94190841e-11  2.94190841e-11  3.53029009e-01  1.18130566e+00 -8.22835961e-04 
 2.96149361e-11  2.96149361e-11  3.55379233e-01  1.18068294e+00 -8.51966953e-04 
 2.98138739e-11  2.98138739e-11  3.57766487e-01  1.18003925e+00 -8.81862926e-04 
 3.00019255e-11  3.00019255e-11  3.60023106e-01  1.17942045e+00 -9.10395434e-04 
 3.01886115e-11  3.01886115e-11  3.62263337e-01  1.17879618e+00 -9.38975919e-04 
 3.03765825e-11  3.03765825e-11  3.64518990e-01  1.17815760e+00 -9.68002852e-04 
 3.05692236e-11  3.05692236e-11  3.66830683e-01  1.17749269e+00 -9.98003477e-04 
 3.07666648e-11  3.07666648e-11  3.69199978e-01  1.17680021e+00 -1.02900905e-03 
 3.09693555e-11  3.09693555e-11  3.71632266e-01  1.17607770e+00 -1.06110165e-03 
 3.11765628e-11  3.11765628e-11  3.74118754e-01  1.17532690e+00 -1.09417555e-03 
 3.13883750e-11  3.13883750e-11  3.76660500e-01  1.17454662e+00 -1.12825317e-03 
 3.16043841e-11  3.16043841e-11  3.79252610e-01  1.17373750e+00 -1.16327579e-03 
 3.18248459e-11  3.18248459e-11  3.81898150e-01  1.17289772e+00 -1.19929065e-03 
 3.20496654e-11  3.20496654e-11  3.84595985e-01  1.17202671e+00 -1.23628751e-03 
 3.22791804e-11  3.22791804e-11  3.87350165e-01  1.17112217e+00 -1.27432664e-03 
 3.25134612e-11  3.25134612e-11  3.90161534e-01  1.17018276e+00 -1.31342414e-03 
 3.27454345e-11  3.27454345e-11  3.92945214e-01  1.16923648e+00 -1.35239144e-03 
 3.29757749e-11  3.29757749e-11  3.95709299e-01  1.16828085e+00 -1.39132336e-03 
 3.32037542e-11  3.32037542e-11  3.98445050e-01  1.16731917e+00 -1.43007904e-03 
 3.34298968e-11  3.34298968e-11  4.01158762e-01  1.16634952e+00 -1.46873034e-03 
 3.36539806e-11  3.36539806e-11  4.03847767e-01  1.16537311e+00 -1.50722314e-03 
 3.38763875e-11  3.38763875e-11  4.06516650e-01  1.16438850e+00 -1.54560787e-03 
 3.40968476e-11  3.40968476e-11  4.09162172e-01  1.16339710e+00 -1.58382359e-03 
 3.43156581e-11  3.43156581e-11  4.11787897e-01  1.16239776e+00 -1.62190810e-03 
 3.45327575e-11  3.45327575e-11  4.14393091e-01  1.16139095e+00 -1.65983789e-03 
 3.47482969e-11  3.47482969e-11  4.16979563e-01  1.16037611e+00 -1.69762717e-03 
 3.49623088e-11  3.49623088e-11  4.19547705e-01  1.15935321e+00 -1.73527018e-03 
 3.51749015e-11  3.51749015e-11  4.22098818e-01  1.15832185e+00 -1.77277515e-03 
 3.53861491e-11  3.53861491e-11  4.24633789e-01  1.15728174e+00 -1.81014488e-03 
 3.55943916e-11  3.55943916e-11  4.27132699e-01  1.15624130e+00 -1.84707487e-03 
 3.57980179e-11  3.57980179e-11  4.29576215e-01  1.15520918e+00 -1.88326721e-03 
 3.59981745e-11  3.59981745e-11  4.31978093e-01  1.15418023e+00 -1.91891420e-03 
 3.61946537e-11  3.61946537e-11  4.34335844e-01  1.15315605e+00 -1.95396881e-03 
 3.63879397e-11  3.63879397e-11  4.36655277e-01  1.15213463e+00 -1.98850830e-03 
 3.65780484e-11  3.65780484e-11  4.38936581e-01  1.15111636e+00 -2.02252725e-03 
 3.67652484e-11  3.67652484e-11  4.41182980e-01  1.15010022e+00 -2.05606626e-03 
 3.69496472e-11  3.69496472e-11  4.43395766e-01  1.14908603e+00 -2.08913784e-03 
 3.71314264e-11  3.71314264e-11  4.45577116e-01  1.14807315e+00 -2.12176834e-03 
 3.73107021e-11  3.73107021e-11  4.47728426e-01  1.14706126e+00 -2.15397297e-03 
 3.74876103e-11  3.74876103e-11  4.49851324e-01  1.14604990e+00 -2.18577095e-03 
 3.76622574e-11  3.76622574e-11  4.51947089e-01  1.14503876e+00 -2.21717665e-03 
 3.78347520e-11  3.78347520e-11  4.54017024e-01  1.14402746e+00 -2.24820519e-03 
 3.80051867e-11  3.80051867e-11  4.56062240e-01  1.14301571e+00 -2.27886917e-03 
